id,size,content,sample_repo_name,sample_path
f4abc38e22fc9bd551b5ae4c14c382309b506d13,153,"FROM daunnc/geodocker-accumulo:latest

MAINTAINER Pomadchin Grigory, daunnc@gmail.com

RUN /sbin/load-iterators.sh

ENTRYPOINT [ ""/sbin/entrypoint.sh"" ]
",geotrellis/geodocker-cluster,extras/accumulo-gis/Dockerfile
c6562467d9c7e80093cb8f0b743dabfe1cf2cbac,612,"FROM andreptb/oracle-java:6-alpine

MAINTAINER Luciano Mores <luciano.mores@gmail.com>

ENV MAVEN_VERSION 3.2.5
ENV MAVEN_HOME /usr/lib/maven
ENV PATH /usr/lib/maven/bin:$JAVA_HOME/bin:$PATH

RUN apk --no-cache add --virtual build-dependencies wget && \
    cd /tmp && \
    wget -q http://archive.apache.org/dist/maven/maven-3/$MAVEN_VERSION/binaries/apache-maven-$MAVEN_VERSION-bin.tar.gz -O - | tar xzf - && \
    mv /tmp/apache-maven-$MAVEN_VERSION /usr/lib/maven && \
    ln -s /usr/lib/maven/bin/mvn /usr/bin/mvn && \
    rm -rf /tmp/* && \
    apk del --purge build-dependencies

CMD [""mvn"", ""--version""]
",andreptb/Dockerfiles,maven/alpine/jdk-6/Dockerfile
88fe8ed4b008c4761f9ba9dd9b16c14961e822c9,2089,"[#ftl]
#
#  Copyright 2014-2015 by Cloudsoft Corporation Limited
#
#  Licensed under the Apache License, Version 2.0 (the ""License"");
#  you may not use this file except in compliance with the License.
#  You may obtain a copy of the License at
#
#  http://www.apache.org/licenses/LICENSE-2.0
#
#  Unless required by applicable law or agreed to in writing, software
#  distributed under the License is distributed on an ""AS IS"" BASIS,
#  WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
#  See the License for the specific language governing permissions and
#  limitations under the License.

FROM ${fullyQualifiedImageName}
MAINTAINER Cloudsoft ""brooklyn@cloudsoftcorp.com""

# CLOCKER_VERSION_BELOW
LABEL version=""1.2.0-SNAPSHOT""

# setup locale
RUN type locale-gen ; if [ ""$?"" -eq ""0"" ] ; then locale-gen en_US.UTF-8 ; fi

# setup root account
RUN echo 'root:${entity.loginPassword}' | chpasswd

# install sshd
RUN if [ -x ""$(which apt-get)"" ] ; then \
        apt-get update ; \
        apt-get install -y openssh-server ; \
    elif [ -x ""/usr/bin/yum"" ] ; then \
        yum -y install openssh-server ; \
    elif [ -x ""$(which apk-install)"" ] ; then \
        apk-install openssh ; \
        sed -i ""s/UsePrivilegeSeparation.*/UsePrivilegeSeparation no/g"" /etc/ssh/sshd_config ; \
    fi ; \
    mkdir /var/run/sshd ; \
    chmod 600 /var/run/sshd

# create host keys if absent
RUN if [ -f ""/etc/ssh/ssh_host_dsa_key"" -a -f ""/etc/ssh/ssh_host_rsa_key"" ] ; then \
        echo ""SSH host private keys already exists"" ; \
    else \
        ssh-keygen -f /etc/ssh/ssh_host_rsa_key -N '' -t rsa ; \
        ssh-keygen -f /etc/ssh/ssh_host_dsa_key -N '' -t dsa ; \
    fi

# configure sshd to allow login
RUN sed -i.bk 's/PermitRootLogin.*$/PermitRootLogin yes/g' /etc/ssh/sshd_config ; \
    echo 'PasswordAuthentication yes' >> /etc/ssh/sshd_config

# SSH login fix. Otherwise user is kicked off after login
RUN sed 's@session\s*required\s*pam_loginuid.so@session optional pam_loginuid.so@g' -i /etc/pam.d/sshd || true

EXPOSE 22

CMD [ ""/usr/sbin/sshd"", ""-D"" ]
",brooklyncentral/clocker,docker/src/main/resources/clocker/docker/entity/container/SshdDockerfile
401a1578848bc4e8c2ddec31958db1f06180df67,993,"#
# ------------------------------------------------------
#                       Dockerfile
# ------------------------------------------------------
# image:    ansible-java
# tag:      latest
# name:     ansibleshipyard/ansible-java
# version:  v0.1.0
# repo:     https://github.com/AnsibleShipyard/ansible-java
# how-to:   docker build --force-rm -t ansibleshipyard/ansible-java .
# requires: ansibleshipyard/ansible-base-ubuntu
# authors:  github:@jasongiedymin,
#           github:
# ------------------------------------------------------

FROM ansibleshipyard/ansible-base-ubuntu
MAINTAINER ansibleshipyard

# -----> Env
ENV WORKDIR /tmp/build/roles/ansible-java
WORKDIR /tmp/build/roles/ansible-java

# -----> Add assets
ADD ./tasks $WORKDIR/tasks
ADD ./vars $WORKDIR/vars
ADD ./ci $WORKDIR/ci

# -----> Install Galaxy Dependencies

# -----> Execute
RUN ansible-playbook -i $WORKDIR/ci/inventory $WORKDIR/ci/playbook.yml -c local -vvvv

# -----> Cleanup
WORKDIR /
RUN rm -R /tmp/build
",pintostack/core,provisioning/roles/ansible-java/Dockerfile
8d013899004583b41184848569b1d8b81f1c66cc,725,"FROM ubuntu:vivid
MAINTAINER Joel Martin <github@martintribe.org>

##########################################################
# General requirements for testing or common across many
# implementations
##########################################################

RUN apt-get -y update

# Required for running tests
RUN apt-get -y install make python

# Some typical implementation and test requirements
RUN apt-get -y install curl libreadline-dev libedit-dev

RUN mkdir -p /mal
WORKDIR /mal

##########################################################
# Specific implementation requirements
##########################################################

# Install g++ for any C/C++ based implementations
RUN apt-get -y install g++
",kanaka/mal,cpp/Dockerfile
1b8d93465d25c370b40454eac054caac07cc43d9,1428,"# MediaBrowser Server
FROM ubuntu:trusty
MAINTAINER Carlos Hernandez <carlos@techbyte.ca>

# Let the container know that there is no tty
ENV DEBIAN_FRONTEND noninteractive

# Set locale to UTF-8
ENV LANGUAGE en_US.UTF-8
ENV LANG en_US.UTF-8
RUN locale-gen en_US en_US.UTF-8
RUN update-locale LANG=en_US.UTF-8
RUN dpkg-reconfigure locales

# Set user nobody to uid and gid of unRAID, uncomment for unRAID
RUN usermod -u 99 nobody
RUN usermod -g 100 nobody

# Update ubuntu
RUN apt-mark hold initscripts udev plymouth mountall
RUN apt-get -q update
RUN apt-get dist-upgrade -qy && apt-get -q update

# Install MediaBrowser run dependencies
RUN apt-get install -qy --force-yes libmono-cil-dev Libgdiplus mediainfo wget libwebp-dev

# Download latest release from Dropbox
RUN wget https://github.com/MediaBrowser/MediaBrowser.Releases/raw/master/Server/mediabrowser.deb && dpkg -i mediabrowser.deb && apt-get install -f

# Uncomment for unRAID
RUN chown -R nobody:users /opt/mediabrowser

# Cleanup
RUN apt-get -y autoremove && rm mediabrowser.deb
RUN mkdir /config && chown -R nobody:users /config

VOLUME /config 

ADD ./start.sh /start.sh
RUN chmod u+x  /start.sh

# Default MB3 HTTP/tcp server port
EXPOSE 8096/tcp
# Default MB3 HTTPS/tcp server port
EXPOSE 8920/tcp
# UDP server port
EXPOSE 7359/udp
# ssdp port for UPnP / DLNA discovery
EXPOSE 1900/udp
# Run as default unRAID user nobody
USER nobody
ENTRYPOINT [""/start.sh""]
",MediaBrowser/Emby,Docker/Dockerfile
040794ad1be4678f518540e5667896b13f59147b,476,"FROM nodesource/fedora22-base
MAINTAINER William Blankenship <wblankenship@nodesource.com>

RUN curl -sL -o ns.rpm https://rpm.nodesource.com/pub_4.x/fc/22/x86_64/nodejs-4.2.4-1nodesource.fc22.x86_64.rpm \
 && rpm -i --nosignature --force ns.rpm \
 && rm -f ns.rpm

RUN npm install -g pangyp\
 && ln -s $(which pangyp) $(dirname $(which pangyp))/node-gyp\
 && npm cache clear\
 && node-gyp configure || echo """"

ENV NODE_ENV production
WORKDIR /usr/src/app
CMD [""npm"",""start""]",nodesource/docker-node,fedora/22/node/4.2.4/Dockerfile
94fd2ff0da994244b34c5f5215f5163090d95d92,1711,"# CEPH BASE IMAGE
# CEPH VERSION: Jewel
# CEPH VERSION DETAIL: 0.94.x

FROM centos:7
MAINTAINER Sébastien Han ""seb@redhat.com""

ENV ETCDCTL_VERSION v2.2.0
ENV ETCDCTL_ARCH linux-amd64
ENV CEPH_VERSION jewel
ENV KVIATOR_VERSION 0.0.7
ENV CONFD_VERSION 0.10.0

# Install prerequisites
RUN yum install -y unzip

# Install Runit
RUN curl -s https://packagecloud.io/install/repositories/imeyer/runit/script.rpm.sh | bash
RUN yum install -y runit-2.1.1-7.el7.centos.x86_64

# Install Ceph
RUN rpm --import 'https://download.ceph.com/keys/release.asc'
RUN rpm -Uvh http://download.ceph.com/rpm-${CEPH_VERSION}/el7/noarch/ceph-release-1-1.el7.noarch.rpm
RUN yum install -y epel-release && yum clean all
RUN yum install -y ceph ceph-radosgw sharutils python34 && yum clean all

# Install etcdctl
RUN curl -L --remote-name https://github.com/coreos/etcd/releases/download/${ETCDCTL_VERSION}/etcd-${ETCDCTL_VERSION}-${ETCDCTL_ARCH}.tar.gz && tar xfz etcd-${ETCDCTL_VERSION}-${ETCDCTL_ARCH}.tar.gz -C /tmp/ etcd-${ETCDCTL_VERSION}-${ETCDCTL_ARCH}/etcdctl
RUN mv /tmp/etcd-${ETCDCTL_VERSION}-${ETCDCTL_ARCH}/etcdctl /usr/local/bin/etcdctl

#install kviator
ADD https://github.com/AcalephStorage/kviator/releases/download/v${KVIATOR_VERSION}/kviator-${KVIATOR_VERSION}-linux-amd64.zip /tmp/kviator.zip
RUN cd /usr/local/bin && unzip /tmp/kviator.zip && chmod +x /usr/local/bin/kviator && rm /tmp/kviator.zip

# Install confd
ADD https://github.com/kelseyhightower/confd/releases/download/v${CONFD_VERSION}/confd-${CONFD_VERSION}-linux-amd64 /usr/local/bin/confd
RUN chmod +x /usr/local/bin/confd && mkdir -p /etc/confd/conf.d && mkdir -p /etc/confd/templates

ADD entrypoint.sh /entrypoint.sh
ENTRYPOINT [""/entrypoint.sh""]

",ceph/ceph-docker,ceph-releases/jewel/centos/7/base/Dockerfile
c03d121f8928ce5baf7e0081e5ac3700afbec3ef,349,"# Composer Docker Container
FROM composer/composer:base-php5-alpine
MAINTAINER Rob Loach <robloach@gmail.com>

ENV COMPOSER_VERSION master

# Install Composer
RUN php /tmp/composer-setup.php --no-ansi --install-dir=/usr/local/bin --filename=composer --snapshot && rm -rf /tmp/composer-setup.php

# Display version information
RUN composer --version
",RobLoach/docker-composer,master/php5-alpine/Dockerfile
14d8a9fc9f7651699f2afb3d2d33e4d86864092a,571,"FROM ubuntu:latest

ENV package grafana-1.9.1
RUN apt-get update
RUN DEBIAN_FRONTEND=noninteractive apt-get install -y curl mini-httpd uuid-runtime

RUN curl -s http://grafanarel.s3.amazonaws.com/$package.tar.gz | tar -xz --strip-components=1 -C /srv
COPY config.js /srv/
RUN rm /srv/config.sample.js

WORKDIR /

LABEL \
  com.opentable.sous.repo_url=https://github.com/opentable/two.git \
  com.opentable.sous.repo_offset= \
  com.opentable.sous.version=1.1.1 \
  com.opentable.sous.revision=91495f1b1630084e301241100ecf2e775f6b672c

CMD mini-httpd -d /srv -p $PORT0 -D
",opentable/sous,lib/test/test-two/Dockerfile
